TipLabel,max_distance,max_brightness,median_total_distance_from_brown,median_total_brightness,combined_color
Pnoepyga_albiventer,2236.1798865994374,129.20908839999998,12334.404504298283,630.7679983999999,0.11465416068854101
Pnoepyga_formosana,4800.621336343334,180.1034792,18030.262548673076,646.0228907999999,0.5470592455880744
Pnoepyga_immaculata,4924.525838226203,191.732135,19652.87350577311,802.6987907999999,0.569467544226453
Pnoepyga_pusilla,5230.749507099854,204.6771898,20710.135527240534,832.5035071,0.6222371262120229
Podoces_biddulphi,3922.554338305413,185.0266758,19937.778823843615,821.4298171,0.40269850470833
Podoces_hendersoni,4704.782971700138,202.41544359999997,21444.79401464873,881.4817697999999,0.5349027994266877
Podoces_panderi,6281.139330428034,242.84468980000003,27270.161220634818,995.5482877,0.8022131409611811
Podoces_pleskei,5018.3913740879625,214.4087634,17957.866241747637,813.6784541,0.5887359776149165
Poecilodryas_albonotata,6540.065569014584,250.1782698,25095.9438917184,619.3167747,0.84623505878773
Poecilodryas_brachyura,6543.34097727789,250.77634519999998,26722.07005010521,698.1613403,0.846875479037521
Poecilodryas_cerviniventris,6575.911156364681,252.1143198,25215.390621725473,860.6375886,0.8524816646166069
Poecilodryas_hypoleuca,6647.40544859258,254.99999999999997,30096.595453754686,899.0895441,0.8647792356565931
Poecilodryas_placens,5633.860554286751,193.94016659999997,21133.21593901881,617.0198743,0.6871100654820869
Poecilodryas_superciliosa,6575.131487555974,252.4887574,25527.752414132934,912.6878602,0.8524146659419095
Poecilotriccus_albifacies,6182.740502390355,239.1184326,23425.15702825983,827.6974481,0.7853283472501803
Poecilotriccus_calopterus,6234.950533041946,242.713243,27997.8224296093,871.3487212,0.7945548093582743
Poecilotriccus_capitalis,6393.428454427225,247.10933379999997,26269.87073186563,905.1157223999999,0.8214834928470673
Poecilotriccus_fumifrons,6096.569300973806,244.6083194,25345.75331672594,1127.6023136,0.7719889473323023
Poecilotriccus_latirostris,5777.277241654164,229.2179348,24458.541404524814,1085.0842151000002,0.7166544131076805
Poecilotriccus_luluae,5990.832221799072,237.76550820000003,23617.651895893498,825.5950915999999,0.7533756142754879
Poecilotriccus_plumbeiceps,6160.962113049948,242.011631,23067.521318379542,996.0962178,0.7822059747940937
Poecilotriccus_pulchellus,6315.672064460491,242.5682978,27914.74652579661,849.9187892,0.8078768940651847
Poecilotriccus_ruficeps,6206.747021144202,239.5218408,26295.793896912248,955.2659484000001,0.7893641488375874
Poecilotriccus_russatus,3876.060981403324,157.77547679999998,18676.963237475116,664.4058766999999,0.39050598990339036
Poecilotriccus_senex,4892.834011782442,210.1206598,21861.514574208195,904.4014698,0.5672680503077223
Poecilotriccus_sylvia,5802.7018521569435,224.8540068,28423.18505947091,974.8185541,0.7201364692415355
Poeoptera_kenricki,4433.318524036487,137.9762392,23287.710115875867,595.0637241,0.4793663574382509
Poeoptera_lugubris,5414.397341228269,127.3259218,24490.47129826358,503.5916413,0.639811609377339
Poeoptera_stuhlmanni,5231.1705415881725,127.59667339999999,26286.025131550545,540.7246161,0.6095626737495502
Poephila_acuticauda,5209.882744196567,183.24077839999995,27523.079287389486,733.0894142,0.6152429546060052
Poephila_cincta,6130.085584531898,229.6411926,25567.150714900825,823.1370313,0.7750557617652546
Poephila_personata,4659.1835270404445,193.42462079999999,21553.130891854827,574.4929296,0.5258771481624556
Pogonocichla_stellata,4494.072511219333,162.2479652,20991.03908774812,687.1464982,0.49342403605738605
Poliolais_lopezi,6261.387524148689,238.3759584,23549.719542823397,915.8557108,0.7982086519432923
Polioptila_albiloris,6095.963554167392,229.85511739999998,30301.475876122233,958.0048151,0.76944958414244
Polioptila_caerulea,5983.319402859291,225.05215479999998,31726.77238570444,1054.7497438,0.7500315314115613
Polioptila_californica,5723.0022946842555,214.37437599999998,27342.1538754481,845.0139741999999,0.7052267437077342
Polioptila_clementsi,5014.581735805591,175.6367092,27368.96956505874,926.3735242,0.581695757361912
Polioptila_dumicola,5820.7548322741,217.11116699999997,29599.12185350915,1014.6336649999998,0.7218410905104579
Polioptila_guianensis,5664.499597600103,212.71322999999998,29518.10484682353,1027.7602047999999,0.695279588442476
Polioptila_lactea,6197.599532756195,237.82871579999997,30418.49066260022,980.9364782999999,0.7875718221009075
Polioptila_lembeyei,5987.111531295505,224.459388,30836.26230420499,1078.8486272,0.7505604960739521
Polioptila_melanura,5934.795271755351,221.25565139999998,29592.5977405317,904.1303528999999,0.7413811286395913
Polioptila_nigriceps,5876.906885580324,218.9116986,29586.415922381628,910.2466774999998,0.7314226486446177
Polioptila_plumbea,5873.478579002431,218.57721759999998,29789.146517452926,926.8287305,0.7308005302700462
Polioptila_schistaceigula,5301.163743976399,196.1455448,27435.090531711066,906.3211805,0.6324684498452492
Polioxolmis_rufipennis,5543.304909938452,216.81875219999998,20860.474160693586,900.2778665,0.6759207169173063
Polystictus_pectoralis,3428.331161410844,172.002657,16786.765494628962,698.5583326,0.3188330739980064
Polystictus_superciliaris,5557.152126825839,226.2024658,19879.739206930426,761.1334216,0.6797615897849396
Pomarea_dimidiata,6403.088965191905,246.64782099999996,25290.26823167147,926.9300040999999,0.8230044040181086
Pomarea_iphis,6553.137739929774,251.9081656,26626.276037048316,686.449343,0.8486823501892578
Pomarea_mendozae,5036.187490748585,219.26782259999996,26250.52997327527,427.5726071,0.5924816584141325
Pomarea_nigra,4771.2483450984555,93.4063614,26181.866492803994,242.5120686,0.5278688591842343
Pomarea_whitneyi,4745.846159357575,49.52061919999999,27163.797577571837,171.15787469999998,0.5164131784646375
Pomatorhinus_erythrocnemis,6572.63701163874,251.749433,23254.353168273297,978.8468643,0.8518800073795005
Pomatorhinus_erythrogenys,6459.924580729804,248.42479999999998,25389.16935375222,1046.996709,0.8326950844746849
Pomatorhinus_ferruginosus,6560.180684871752,251.37440559999996,20459.586354452375,691.8075517,0.8497585426322433
Pomatorhinus_gravivox,5960.613653433134,229.72845220000002,22582.983805595715,883.9602494999999,0.7470506420690893
Pomatorhinus_horsfieldii,6647.40544859258,254.99999999999997,28103.734487400066,1016.2891812,0.8647792356565931
Pomatorhinus_hypoleucos,6610.249197226098,253.555,26789.198598991665,991.6018422,0.8583971194038366
Pomatorhinus_mcclellandi,6641.865169453147,254.8270014,24002.79752269655,1044.1681481,0.8638346340847123
Pomatorhinus_melanurus,6636.397798618091,254.572,26959.006659748728,999.2147461,0.8628885288794963
Pomatorhinus_montanus,6615.390661429382,253.75499999999997,28611.01181435434,992.9187563999999,0.8592802473931768
Pomatorhinus_musicus,6266.472329122133,238.592944,21827.95663919056,763.0764939999999,0.7990852205152859
Pomatorhinus_ochraceiceps,6629.36250007273,254.3059106,24537.93837157716,1082.2482326999998,0.8616813579970977
